 INFO  Accepting connections at http://localhost:3000
 HTTP  12/19/2022 10:45:06 AM 85.249.16.144 GET /static/media/succsess.4fcbda4c9e6bafa8f6fd.mp3
 HTTP  12/19/2022 10:45:06 AM 85.249.16.144 Returned 206 in 1 ms
 HTTP  12/19/2022 10:45:06 AM 85.249.16.144 Returned 206 in 1 ms
 HTTP  12/19/2022 10:45:07 AM 85.249.16.144 GET /static/media/jump.98e106371414bfb47ba8.mp3
 HTTP  12/19/2022 10:45:07 AM 85.249.16.144 Returned 206 in 1 ms
 HTTP  12/19/2022 10:54:25 AM 85.249.16.144 GET /
 HTTP  12/19/2022 10:54:25 AM 85.249.16.144 Returned 304 in 2 ms
 HTTP  12/19/2022 10:54:25 AM 85.249.16.144 GET /static/js/main.179b62ee.js
 HTTP  12/19/2022 10:54:25 AM 85.249.16.144 GET /static/css/main.1f76cc62.css
 HTTP  12/19/2022 10:54:25 AM 85.249.16.144 Returned 304 in 1 ms
 HTTP  12/19/2022 10:54:25 AM 85.249.16.144 Returned 304 in 1 ms
 HTTP  12/19/2022 10:54:25 AM 85.249.16.144 GET /static/media/rabbitTop.b704a49dc521dd3097cb.png
 HTTP  12/19/2022 10:54:25 AM 85.249.16.144 Returned 304 in 0 ms
 HTTP  12/19/2022 10:54:25 AM 85.249.16.144 GET /static/media/rabbitBottom.8142e2fda7896c86c38b.png
 HTTP  12/19/2022 10:54:25 AM 85.249.16.144 Returned 304 in 0 ms
 HTTP  12/19/2022 10:54:25 AM 85.249.16.144 GET /static/media/boxes.d286d5f5c677b87fa664.png
 HTTP  12/19/2022 10:54:25 AM 85.249.16.144 GET /static/media/lamp.f549b6fe07f9732d0b09.png
 HTTP  12/19/2022 10:54:25 AM 85.249.16.144 Returned 304 in 1 ms
 HTTP  12/19/2022 10:54:25 AM 85.249.16.144 Returned 304 in 0 ms
 HTTP  12/19/2022 10:54:25 AM 85.249.16.144 GET /static/media/fon.4ff3d018c6eaecdecd7e.png
 HTTP  12/19/2022 10:54:25 AM 85.249.16.144 GET /static/media/gameFon.1c82875db2d0188e6bec.png
 HTTP  12/19/2022 10:54:25 AM 85.249.16.144 Returned 304 in 1 ms
 HTTP  12/19/2022 10:54:25 AM 85.249.16.144 Returned 304 in 1 ms
 HTTP  12/19/2022 11:03:26 AM 152.89.196.211 GET /actuator/gateway/routes
 HTTP  12/19/2022 11:03:26 AM 152.89.196.211 Returned 200 in 1 ms
 HTTP  12/19/2022 11:07:20 AM 217.119.31.24 GET /
 HTTP  12/19/2022 11:07:20 AM 217.119.31.24 Returned 200 in 1 ms
 HTTP  12/19/2022 11:07:20 AM 217.119.31.24 GET /static/js/main.179b62ee.js
 HTTP  12/19/2022 11:07:20 AM 217.119.31.24 Returned 304 in 1 ms
 HTTP  12/19/2022 11:07:20 AM 217.119.31.24 GET /static/css/main.1f76cc62.css
 HTTP  12/19/2022 11:07:20 AM 217.119.31.24 Returned 304 in 0 ms
 HTTP  12/19/2022 11:07:21 AM 217.119.31.24 GET /favicon.ico
 HTTP  12/19/2022 11:07:21 AM 217.119.31.24 Returned 200 in 1 ms
 HTTP  12/19/2022 11:07:21 AM 217.119.31.24 GET /static/media/rabbitTop.b704a49dc521dd3097cb.png
 HTTP  12/19/2022 11:07:21 AM 217.119.31.24 Returned 304 in 1 ms
 HTTP  12/19/2022 11:07:21 AM 217.119.31.24 GET /static/media/rabbitBottom.8142e2fda7896c86c38b.png
 HTTP  12/19/2022 11:07:21 AM 217.119.31.24 Returned 304 in 1 ms
 HTTP  12/19/2022 11:07:21 AM 217.119.31.24 GET /static/media/boxes.d286d5f5c677b87fa664.png
 HTTP  12/19/2022 11:07:21 AM 217.119.31.24 GET /static/media/lamp.f549b6fe07f9732d0b09.png
 HTTP  12/19/2022 11:07:21 AM 217.119.31.24 Returned 304 in 2 ms
 HTTP  12/19/2022 11:07:21 AM 217.119.31.24 Returned 304 in 2 ms
 HTTP  12/19/2022 11:07:21 AM 217.119.31.24 GET /static/media/gameFon.1c82875db2d0188e6bec.png
 HTTP  12/19/2022 11:07:21 AM 217.119.31.24 GET /static/media/fon.4ff3d018c6eaecdecd7e.png
 HTTP  12/19/2022 11:07:21 AM 217.119.31.24 Returned 304 in 1 ms
 HTTP  12/19/2022 11:07:21 AM 217.119.31.24 Returned 304 in 0 ms
